题干,A,B,C,D,E,F,答案,uncertain,incorrect,question_index
"Analyze the following code:

public class Test implements Runnable {
  public static void main(String[] args) {
    Test t = new Test();
  }

  public Test() {
    Thread t = new Thread(this);
    t.start();
  }

  public void run() {
    System.out.println(""test"");
  }
}
the correct answer is ()",The program has a compilation error because t is defined in both the main() method and the constructor Test().,"The program compiles fine, but it does not run because you cannot use the keyword this in the constructor.",The program compiles and runs and displays nothing.,The program compiles and runs and displays test.,,,D,,0,0
"Why does the following class have a syntax error?()

import java.applet.*;

public class Test extends Applet implements Runnable {
   public void init() throws InterruptedException {
     Thread t = new Thread(this);
      t.sleep(1000);
   }

   public synchronized void run() {
   }
}",The sleep() method is not invoked correctly; it should be invoked as Thread.sleep(1000).,You cannot put the keyword synchronized in the run() method.,"The init() method is defined in the Applet class, and it is overridden incorrectly because it cannot claim exceptions in the subclass.",The sleep() method should be put in the try-catch block. This is the only reason for the compilation failure.,,,C,A,1,0
Which of the following expressions must be true if you create a thread using Thread = new Thread(object)? (),object instanceof Thread,object instanceof Frame,object instanceof Applet,object instanceof Runnable,,,D,,0,0
You can use the()method to force one thread to wait for another thread to finish.,sleep(long milliseconds),yield(),stop(),join(),,,D,,0,0
"When you run the following program, what will happen?()

public class Test extends Thread {
  public static void main(String[] args) {
    Test t = new Test();
    t.start();
    t.start();
  }

  public void run() {
    System.out.println(""test"");
  }
}",Nothing is displayed.,The program displays test twice.,The program displays test once.,An illegal java.lang.IllegalThreadStateException may be thrown because you just started thread and thread might have not yet finished before you start it again.,,,D,D,0,0
"Java.lang.Thread类中的以下方法,哪个是静态的?()",run(),sleep(long),start(),join(),,,B,B,0,0
以下哪个方法会抛出InterruptedException异常?(),run(),sleep(long),start(),yield(),,,B,,0,0
"Given the following code, which set of code can be used to replace the comment so that the program displays time to the console every second?()

import java.applet.*;
import java.util.*;

public class Test extends Applet implements Runnable {
  public void init() {
    Thread t = new Thread(this);
    t.start();
  }

  public void run() {
    for(; ;) {
      //display time every second
      System.out.println(new Date().toString());
    }
  }
}",try { sleep(1000); } catch(InterruptedException e) { },try { t.sleep(1000); } catch(InterruptedException e) { },try { Thread.sleep(1000); } catch(RuntimeException e) { },try { Thread.sleep(1000); } catch(InterruptedException e) { },,,D,,0,0
"已知有一个多线程类myThread,除run方法外还包含一个方法void disp().以下说法正确的是()",myThread mt=new myThread(); mt.start();mt.disp();运行完线程体run方法后再运行disp()方法,myThread mt=new myThread();mt.disp();mt.start();运行完disp()后才能启动线程体run,myThread mt=new myThread();mt.start();mt.disp();线程体run一定会在disp结束前结束,"myThread mt=new myThread();mt.start();mt.disp();mt.start()和mt.disp()两条命令,哪条放在前面哪条放在后面运行结果一样.",,,B,D,1,0
以下语句哪个用于创建线程池?(),ExecutorService executor = Executors.newCachedThreadPool();,ExecutorService executor = Executors.newCachedThreadPool(1);,ExecutorService executor = Executors.newCachedThreadPool(2);,ExecutorService executor = Executors.newCachedThreadPool(3);,,,A,,0,0
The keyword to synchronize methods in Java is (),synchronize,synchronizing,synchronized,Synchronized,,,C,,0,0
Which of the following are correct statements to create a Lock so the longest-wait thread will obtain the lock first?(),Lock lock = new Lock();,Lock lock = new ReentrantLock();,Lock lock = new ReentrantLock(true);,Lock lock = new ReentrantLock(false);,,,C,C,0,0
如何在Condition对象实例上创建线程锁?(),Condition condition = lock.getCondition();,Condition condition = lock.newCondition();,Condition condition = Lock.newCondition();,Condition condition = Lock.getCondition();,,,B,,1,0
"有如下代码:
Class a extends Thread{
Public void run{
  For(int i=1;i<100;i++){System.out.println(i);}
}}
能正确启动a中run方法的是()",a.run();,"a a1=new a();
a1.run();","a a1=new a();
a1.start();
","a a1=new a();
Thread t=new Thread(a);
a.start();",,,C,,0,0
"程序如下:
public class Borley extends Thread
{
public static void main(String[] argv)
{
        Borley b = new Borley();
        b.start();
    }
public void run()
{      
        System.out.println(""Running"");
    }
}
下面描述正确的是().",通过编译和运行但是没有任何输出,"通过编译,运行后输出""Running""","编译出错,没有线程可供运行","编译出错,没有权限使用Thread",,,B,,0,0
Which of the following statements are true?(),"The wait(), notify(), and notifyAll() methods must be invoked from a synchronized method or a synchronized block.","When wait() is invoked, it pauses the thread and releases the lock on the object simultaneously. When the thread is restarted after being notified, the lock is automatically reacquired.",The notify() method can wake only one waiting thread.,An exception would occur if no thread is waiting on the object when the notify() method is invoked on the object.,,,D,E,1,0
"Analyze the following code.the correct answer is ()

// Test.java: Define threads using the Thread class
import java.util.*;

public class Test {
  private Stack stack = new Stack();
  private int i = 0;

  /** Main method */
  public static void main(String[] args) {
    new Test();
  }

  public Test() {
    // Start threads
    new Producer().start();
    new Consumer().start();
  }

  class Producer extends Thread {
    public void run() {
      while (true) {
          System.out.println(""Producer: put "" + i);
          stack.push(new Integer(i++));
          synchronized (stack) {
            notifyAll();
          }
      }
    }
  }

  class Consumer extends Thread {
    public void run() {
      while (true) {
        synchronized (stack) {
          try {
            while (stack.isEmpty())
              stack.wait();
            System.out.println(""Consumer: get "" + stack.pop());
          }
          catch (InterruptedException ex) {
            ex.printStackTrace();
          }
        }
      }
",The program creates two threads: one to add data to the stack and the other to get data from the stack.,The program has a compilation error on the notifyAll() method in the Producer class because it is not invoked from the stack object.,The program will throw an exception because the notifyAll() method in the Producer class is not invoked from the stack object.,"The program has a logic error because the lock obtained by the synchronized block for notifyAll in the Producer class is stack and it should be this (i.e., synchronized (this) { notifyAll(); }).",,,C,A,1,0
"1、 阅读下面程序
      Public class Test2 _______{
        Public static void main(String[] args){
            Thread t=new Test2();
            t.start();
       }
       Public void run(){
         System.out.println(""How are you.);
       }
}
在程序下划线处填入正确选项是()",implements Thread,extemds Runnable,implements runnable,extends Thead,,,D,,0,0
"Class Test implements Runnable {
   Public int run( ) {
      int i = 0;
      While (true) {
          i++;
          System.out.println (""i=""+i);
      }
   }
}
上述代码的编译结果是()",程序通过编译并且run ()方法可以正常输出递增的i值,"程序通过编译,调用run ()方法将不显示任何输出","程序不能通过编译,因为while的循环控制条件不能为""true""","程序不能通过编译,因为run ()方法的返回值类型不是void给出下面的代码段",,,D,,0,0
"public class ThreadTest extends Thread {
        int time;
        public ThreadTest (String name,int t) {
                //填写正确的选项
        }
        public void run() {
                //相关代码省略
        }
        public static void main(String[] agrs) {
                ThreadTest test = new ThreadTest (""线程001"",500);
        }
}
能够正确为test线程设置名称的是().",this(name);,"this(name,t);",Thread.currentThread().setName(name);,super(name);,,,D,D,0,0
"给出以下代码段:  
1. class MyThread extends Thread { 
2. public void run() { System.out.println(""AAA""); } 
3. public void run(Runnable r) { System.out.println(""BBB""); } 
4. 
5. public static void main(String[] args) { 
6. new Thread(new MyThread()).start(); 
7. } 
8. } 
 
以下哪些是正确的输出结果?()",AAA,BBB,不能编译通过,没有任何输出结果,,,A,,1,0
"Given: 
1. public class X implements Runnable { 
2. private int x; 
3. private int y; 
4.  
5. public static void main(String [] args) { 
6. X that = new X(); 
7. (new Thread( that )).start(); 
8. (new Thread( that )).start(); 
9. } 
10. 
11. public void run() { 
12. for (;;) { 
13. synchronized (this) { 
14. x++; 
15. y++; 
16. } 
17. 
System.out.println(Thread.currentThread().getName() + 
18. ""x = "" + x + "", y = "" + 
y); 
19. } 
20. } 
21. } 
 
What is the result? ()",Compilation fails.,"The program prints pairs of values for x and y that might not always be the same on 
the same line (for example, ""x = 2, y = 1"").","The program prints pairs of values for x and y that are always the same on the same 
line (for example, ""x = 1, y = 1""). 
In addition, each value appears only once (for example, ""x = 1, y = 1"" followed 
by ""x = 2, y = 2"").","The program prints pairs of values for x and y that are always the same on the same 
line (for example, ""x = 1, y = 1""). 
In addition, each value appears only once (for example, ""x = 1, y = 1"" followed 
by ""x = 2, y = 2""). 
The thread name at the start of the line shows that only a single thread is actually 
executing.",,,D,,1,0
Which statement is true?(),"To call the wait() method, a thread most own the lock of the current thread.","To call the wait() method, a thread must own the lock of the object on which the call is to be made.","To call the join() method, a thread must own the lock of the object on which the call is to be made.","To call the sleep() method, a thread must own the lock of the object which the call 
is to be made.",,,B,B,0,0
What can cause a thread to become non-runnable? (),Exiting from a synchronized block.,Calling the wait method on an object.,Calling the notify method on an object.,Calling the notifyAll method on an object.,,,B,B,0,0
Which of the following statements are true?,A Pane can be placed in a Control.,A Node can be placed in a Scene.,A Node can be placed in a Pane.,A Shape can be placed in a Control.,,,A,A,0,0
"What is the output of the following code?

import javafx.beans.property.IntegerProperty;
import javafx.beans.property.SimpleIntegerProperty;

public class Test {
 public static void main(String[] args) { 
  IntegerProperty d1 = new SimpleIntegerProperty(1);
  IntegerProperty d2 = new SimpleIntegerProperty(2);
  d1.bind(d2);
  System.out.print(""d1 is "" + d1.getValue() 
   + "" and d2 is "" + d2.getValue());
  d2.setValue(3);
  System.out.println("", d1 is "" + d1.getValue() 
   + "" and d2 is "" + d2.getValue());
 }

","d1 is 1 and d2 is 2, d1 is 3 and d2 is 3","d1 is 2 and d2 is 2, d1 is 3 and d2 is 3","d1 is 1 and d2 is 2, d1 is 1 and d2 is 3","d1 is 2 and d2 is 2, d1 is 2 and d2 is 3",,,B,B,0,0
"What is the output of the following code?

import javafx.beans.property.IntegerProperty;
import javafx.beans.property.SimpleIntegerProperty;

public class Test {
 public static void main(String[] args) { 
  IntegerProperty d1 = new SimpleIntegerProperty(1);
  IntegerProperty d2 = new SimpleIntegerProperty(2);
  d1.bindBidirectional(d2);
  System.out.print(""d1 is "" + d1.getValue() 
   + "" and d2 is "" + d2.getValue());
  d1.setValue(3);
  System.out.println("", d1 is "" + d1.getValue() 
   + "" and d2 is "" + d2.getValue());
 }
}","d1 is 2 and d2 is 2, d1 is 3 and d2 is 3","d1 is 1 and d2 is 2, d1 is 1 and d2 is 3","d1 is 1 and d2 is 2, d1 is 3 and d2 is 3","d1 is 2 and d2 is 2, d1 is 2 and d2 is 3",,,A,A,0,0
"Analyze the following code:

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.scene.layout.HBox;
import javafx.scene.layout.Pane;
import javafx.geometry.Insets;
import javafx.stage.Stage;
import javafx.scene.image.Image;
import javafx.scene.image.ImageView;

public class Test extends Application {
 @Override // Override the start method in the Application class
 public void start(Stage primaryStage) {
  // Create a pane to hold the image views
  Pane pane = new HBox(10);
  pane.setPadding(new Insets(5, 5, 5, 5));
  Image image = new Image(""www.cs.armstrong.edu/liang/image/us.gif"");
  pane.getChildren().addAll(new ImageView(image), new ImageView(image));
 
  // Create a scene and place it in the stage
  Scene scene = new Scene(pane);
  primaryStage.setTitle(""ShowImage""); // Set the stage title
  primaryStage.setScene(scene); // Place the scene in the stage
  primaryStage.show(); // Display the stage
 }
 
 /**
 * The main method is only needed for the IDE with limited
 * JavaFX su",The image object cannot be shared by two ImageViews.,The program runs fine and displays two images.,The addAll method needs to be replaced by the add method.,"new Image(""www.cs.armstrong.edu/liang/image/us.gif"") must be replaced by new Image(""http://www.cs.armstrong.edu/liang/image/us.gif"").",,,D,D,0,0
"To add two nodes node1 and node2 into a pane, use ________.","pane.add(node1, node2);","pane.getChildren().addAll(node1, node2);","pane.addAll(node1, node2);","pane.getChildren().add(node1, node2);",,,B,,0,0
"To remove two nodes node1 and node2 from a pane, use ________.","pane.getChildren().removeAll(node1, node2);","pane.getChildren().remove(node1, node2);","pane.removeAll(node1, node2);","pane.remove(node1, node2);",,,A,,0,0
"To add a node to the the first row and second column in a GridPane pane, use ________.","pane.add(node, 0, 1);","pane.getChildren().add(node, 0, 1);","pane.add(node, 1, 0);","pane.getChildren().add(node, 1, 2);","pane.add(node, 1, 2);",,C,,0,0
"To place two nodes node1 and node2 in a HBox p, use ________.","p.addAll(node1, node2);","p.add(node1, node2);","p.getChildren().addAll(node1, node2);","p.getChildren().add(node1, node2);",,,D,,0,0
"Analyze the following code:

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.stage.Stage;
import javafx.scene.layout.HBox;
import javafx.scene.shape.Circle;

public class Test extends Application {
 @Override // Override the start method in the Application class
 public void start(Stage primaryStage) {
  HBox pane = new HBox(5);
  Circle circle = new Circle(50, 200, 200); 
  pane.getChildren().addAll(circle);

  circle.setCenterX(100);
  circle.setCenterY(100);
  circle.setRadius(50);
  pane.getChildren().addAll(circle);

  // Create a scene and place it in the stage
  Scene scene = new Scene(pane);
  primaryStage.setTitle(""Test""); // Set the stage title
  primaryStage.setScene(scene); // Place the scene in the stage
  primaryStage.show(); // Display the stage
 }
 
 /**
 * The main method is only needed for the IDE with limited
 * JavaFX support. Not needed for running from the command line.
 */
 public static void main(String[] args) {
  launch(args);
 }
}
",The program runs fine and displays one circle.,The program runs fine and displays two circles.,The program has a runtime error since the circle is added to a pane twice.,The program has a compile error since the circle is added to a pane twice.,,,D,,0,0
A JavaFX action event handler is an instance of _______,ActionEvent,Action,EventHandler,EventHandler<ActionEvent>,,,D,,0,0
A JavaFX action event handler contains a method ________.,public void actionPerformed(ActionEvent e),public void actionPerformed(Event e),public void handle(ActionEvent e),public void handle(Event e),,,C,,0,0
A JavaFX event handler for event type T is an instance of _______.,ActionEvent,Action,EventHandler,EventHandler<T>,,,D,,0,0
"To register a source for an action event with a handler, use __________.",source.addAction(handler),source.setOnAction(handler),source.addOnAction(handler),source.setActionHandler(handler),,,B,,0,0
Suppose A is an inner class in Test. A is compiled into a file named _________.,A.class,Test$A.class,A$Test.class,Test&A.class,,,B,,0,0
Suppose A is an anonymous inner class in Test. A is compiled into a file named _________.,A.class,Test$A.class,A$Test.class,Test&1.class,Test$1.class,,E,,0,0
"Fill in the code below in the underline:
public class Test {
  public static void main(String[] args) {
    Test test = new Test();
    test.setAction(______________________________);
  }
  public void setAction(T1 t) {
    t.m();
  }
}
interface T1 {
  public void m();
}","() -> System.out.print(""Action 1! "")","(e) -> System.out.print(""Action 1! "")","System.out.print(""Action 1! "")","(e) -> {System.out.print(""Action 1! "")}",,,A,,0,0
"To handle the mouse click event on a pane p, register the handler with p using ______.",p.setOnMouseClicked(handler);,p.setOnMouseDragged(handler);,p.setOnMouseReleased(handler);,p.setOnMousePressed(handler);,,,A,,0,0
"Fill in the code in the underlined location to display the mouse point location when the mouse is pressed in the pane.

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.scene.layout.Pane;
import javafx.stage.Stage;

public class Test extends Application {
  @Override // Override the start method in the Application class
  public void start(Stage primaryStage) {
    Pane pane = new Pane();
    ______________________________________
    
    Scene scene = new Scene(pane, 200, 250);
    primaryStage.setTitle(""Test""); // Set the stage title
    primaryStage.setScene(scene); // Place the scene in the stage
    primaryStage.show(); // Display the stage
  }

  /**
   * The main method is only needed for the IDE with limited JavaFX
   * support. Not needed for running from the command line.
   */
  public static void main(String[] args) {
    launch(args);
  }
}","pane.setOnMouseClicked((e) -> System.out.println(e.getX() + "", "" + e.getY()));","pane.setOnMouseReleased(e -> {System.out.println(e.getX() + "", "" + e.getY())});","pane.setOnMousePressed(e -> System.out.println(e.getX() + "", "" + e.getY()));","pane.setOnMouseDragged((e) -> System.out.println(e.getX() + "", "" + e.getY()));",,,C,,0,0
"To handle the key pressed event on a pane p, register the handler with p using ______.",p.setOnKeyClicked(handler);,p.setOnKeyTyped(handler);,p.setOnKeyReleased(handler);,p.setOnKeyPressed(handler);,,,D,,0,0
"Analyze the following code. 

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.scene.control.Button;
import javafx.stage.Stage;

public class Test extends Application {
  @Override // Override the start method in the Application class
  public void start(Stage primaryStage) {
    // Create a button and place it in the scene
    Button btOK = new Button(""OK"");
    btOK.setOnAction(e -> System.out.println(""OK 1""));
    btOK.setOnAction(e -> System.out.println(""OK 2""));

    Scene scene = new Scene(btOK, 200, 250);
    primaryStage.setTitle(""MyJavaFX""); // Set the stage title
    primaryStage.setScene(scene); // Place the scene in the stage
    primaryStage.show(); // Display the stage
  }

  /**
   * The main method is only needed for the IDE with limited JavaFX
   * support. Not needed for running from the command line.
   */
  public static void main(String[] args) {
    launch(args);
  }
}","When clicking the button, the program displays OK1 OK2.","When clicking the button, the program displays OK1.","When clicking the button, the program displays OK2.","The program has a compile error, because the setOnAction method is invoked twice. 
 Check Answer for Question 17",,,C,,0,0
"Suppose the following program displays a pane in the stage. What is the output if the user presses the key for letter B? 

import javafx.application.Application;
import static javafx.application.Application.launch;
import javafx.scene.Scene;
import javafx.scene.layout.Pane;
import javafx.stage.Stage;

// import javafx classes omitted
public class Test1 extends Application {
  @Override
  public void start(Stage primaryStage) {
    // Code to create and display pane omitted
    Pane pane = new Pane();
    Scene scene = new Scene(pane, 200, 250);
    primaryStage.setTitle(""MyJavaFX""); // Set the stage title
    primaryStage.setScene(scene); // Place the scene in the stage
    primaryStage.show(); // Display the stage
    
    pane.requestFocus();
    pane.setOnKeyPressed(e ->
      System.out.print(""Key pressed "" + e.getCode() + "" ""));
    pane.setOnKeyTyped(e ->
      System.out.println(""Key typed "" + e.getCode()));
  }
  
  /**
   * The main method is only needed for the IDE with limited
   * JavaFX support.",Key pressed B Key typed UNDEFINED,Key pressed B Key typed,Key typed UNDEFINED,Key pressed B,,,A,,0,0
Which of the following methods is not defined in the Animation class?,pause(),play(),stop(),resume(),,,D,,0,0
__________ is not a subclass of Animation.,PathTransition,FadeTransition,Timeline,Duration,,,D,,0,0
"Fill in the code to display the key pressed in the text.which is wrong?

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.scene.layout.Pane;
import javafx.scene.text.Text;
import javafx.stage.Stage;

public class Test extends Application {
  @Override // Override the start method in the Application class
  public void start(Stage primaryStage) {
    Pane pane = new Pane();
    Text text = new Text(20, 20, ""Welcome"");
    pane.getChildren().add(text);
    Scene scene = new Scene(pane, 200, 250);
    primaryStage.setTitle(""Test""); // Set the stage title
    primaryStage.setScene(scene); // Place the scene in the stage
    primaryStage.show(); // Display the stage
    
    text.setFocusTraversable(true);
    text.setOnKeyPressed(_______________________);
  }

  /**
   * The main method is only needed for the IDE with limited JavaFX
   * support. Not needed for running from the command line.
   */
  public static void main(String[] args) {
    launch(args);
  }
}",() -> text.setText(e.getText()),(e) -> text.setText(e.getText()),e -> text.setText(e.getText()),e -> {text.setText(e.getText());},,,A,,0,0
"To create a label with the specified text, use __________.
",new Labelled();,new Label();,new Labelled(text);,new Label(text);,,,D,,0,0
"To set a red color for the text in the label lbl, use _________.
",lbl.setFill(Color.red);,lbl.setTextFill(Color.red);,lbl.setFill(Color.RED);,lbl.setTextFill(Color.RED);,,,A,,0,0
"Analyze the following code:

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.scene.control.Button;
import javafx.scene.image.Image;
import javafx.scene.image.ImageView;
import javafx.scene.layout.HBox;
import javafx.stage.Stage;

public class Test extends Application {
  @Override // Override the start method in the Application class
  public void start(Stage primaryStage) {
    HBox pane = new HBox(5);
    Image usIcon = new Image(""http://www.cs.armstrong.edu/liang/image/usIcon.gif"");
    Button bt1 = new Button(""Button1"", new ImageView(usIcon));
    Button bt2 = new Button(""Button2"", new ImageView(usIcon));
    pane.getChildren().addAll(bt1, bt2);
    
    Scene scene = new Scene(pane, 200, 250);
    primaryStage.setTitle(""Test""); // Set the stage title
    primaryStage.setScene(scene); // Place the scene in the stage
    primaryStage.show(); // Display the stage
  }

  /**
   * The main method is only needed for the IDE with limited JavaFX
   * support. Not needed for runnin",Two buttons displayed with the same icon.,Only bt2 displays the icon and bt1 does not display the icon.,Only bt1 displays the icon and bt2 does not display the icon.,Two buttons displayed with different icons.,,,D,,0,0
"Analyze the following code:

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.scene.control.Button;
import javafx.scene.layout.StackPane;
import javafx.stage.Stage;

public class Test extends Application {
  @Override // Override the start method in the Application class
  public void start(Stage primaryStage) {
    StackPane pane = new StackPane();
    Button bt1 = new Button(""Java"");
    Button bt2 = new Button(""Java"");
    Button bt3 = new Button(""Java"");
    Button bt4 = new Button(""Java"");
    pane.getChildren().addAll(bt1, bt2, bt3, bt4);
    
    Scene scene = new Scene(pane, 200, 250);
    primaryStage.setTitle(""Test""); // Set the stage title
    primaryStage.setScene(scene); // Place the scene in the stage
    primaryStage.show(); // Display the stage
  }

  /**
   * The main method is only needed for the IDE with limited JavaFX
   * support. Not needed for running from the command line.
   */
  public static void main(String[] args) {
    launch(args);
  }
}","One button is displayed with the text ""Java"".","Two buttons are displayed with the same text ""Java"".","Three buttons are displayed with the same text ""Java"".","Four buttons are displayed with the same text ""Java"".",,,A,,0,0
"_________ checks whether the CheckBox chk is selected.
",chk.getSelected(),chk.selected(),chk.isSelected(),chk.select(),,,C,,0,0
"_________ checks whether the RadioButton rb is selected.
",rb.getSelected(),rb.selected(),rb.isSelected(),rb.select(),,,C,,0,0
"Analyze the following code:

import javafx.application.Application;
import javafx.scene.Scene;
import javafx.scene.control.RadioButton;
import javafx.scene.control.ToggleGroup;
import javafx.scene.layout.FlowPane;
import javafx.scene.layout.Pane;
import javafx.stage.Stage;

public class Test extends Application {
  @Override // Override the start method in the Application class
  public void start(Stage primaryStage) {
    Pane pane = new FlowPane();
    
    ToggleGroup group = new ToggleGroup();
    RadioButton rb1 = new RadioButton(""Java"");
    RadioButton rb2 = new RadioButton(""C++"");
    pane.getChildren().addAll(rb1, rb2);
    
    Scene scene = new Scene(pane, 200, 250);
    primaryStage.setTitle(""Test""); // Set the stage title
    primaryStage.setScene(scene); // Place the scene in the stage
    primaryStage.show(); // Display the stage
  }

  /**
   * The main method is only needed for the IDE with limited JavaFX
   * support. Not needed for running from the command line.
   */
  public static void m",The program displays two radio buttons. The two radio buttons are grouped.,The program displays one radio button with text Java.,The program displays two radio buttons. The two radio buttons are not grouped.,The program displays one radio button with text C++.,,,C,,1,0
The method __________ gets the contents of the text field tf.,tf.getText(s),tf.getText(),tf.getString(),tf.findString(),,,B,,0,0
The method __________ appends a string s into the text area ta.,ta.setText(s),ta.appendText(s),ta.append(s),ta.insertText(s),,,B,,0,0
"To wrap a line in a text area ta, invoke ____________.",ta.setLineWrap(false),ta.setLineWrap(true),ta.WrapLine(),ta.setWrapText(true),,,D,,0,0
"To wrap a line in a text area jta on words, invoke ____________.",jta.setWrapStyleWord(false),jta.setWrapStyleWord(true),jta.wrapStyleWord(),jta.wrapWord(),,,B,,0,0
The statement for registering a listener for processing list view item change is ___________.,lv.getItems().addListener(e -> {processStatements});,lv.addListener(e -> {processStatements});,lv.getSelectionModel().selectedItemProperty().addListener(e -> {processStatements});,lv.getSelectionModel().addListener(e -> {processStatements});,,,C,,0,0
